CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183
,,,,,Age : Age 100 and over - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons
8846,S13002609,Bo'ness and Blackness ,Wards and Electoral Divisions,WED,2,928,490,284,776,304,321,815,947,3225,3169,1130,1496,777,199,73
8847,S13002610,Grangemouth ,Wards and Electoral Divisions,WED,2,1008,511,307,883,389,431,1116,1199,3430,3552,1027,1788,1219,251,97
8848,S13002611,Denny and Banknock ,Wards and Electoral Divisions,WED,2,1087,640,366,1090,460,456,1049,1100,3932,4013,1250,1665,881,201,59
8849,S13002612,"Carse, Kinnaird and Tryst ",Wards and Electoral Divisions,WED,0,1114,653,378,1196,496,468,1041,1103,4178,4382,1241,1681,928,205,115
8850,S13002613,Bonnybridge and Larbert ,Wards and Electoral Divisions,WED,4,1125,693,389,1088,391,367,769,871,3921,3499,1001,1304,802,181,103
8851,S13002614,Falkirk North ,Wards and Electoral Divisions,WED,3,1203,611,380,950,454,442,1230,1420,4479,3889,1144,1772,1259,293,136
8852,S13002615,Falkirk South ,Wards and Electoral Divisions,WED,5,1121,615,400,1084,418,408,1073,1106,4030,3896,1255,1763,1138,258,123
8853,S13002616,Lower Braes ,Wards and Electoral Divisions,WED,2,737,398,242,707,378,512,890,776,2901,2874,1001,1235,746,209,97
8854,S13002617,Upper Braes ,Wards and Electoral Divisions,WED,0,1016,628,426,1074,448,399,819,788,3556,3673,1015,1347,707,128,60
8855,S13002618,West Fife and Coastal Villages ,Wards and Electoral Divisions,WED,0,969,548,363,1110,482,353,892,814,3426,4384,1396,1898,1033,231,90
8856,S13002619,Dunfermline North ,Wards and Electoral Divisions,WED,2,799,397,264,697,311,266,772,894,2947,2939,996,1312,804,241,142
8857,S13002620,Dunfermline Central ,Wards and Electoral Divisions,WED,1,1087,661,403,1046,465,363,1029,1103,4164,4226,1386,1669,992,219,110
8858,S13002621,Dunfermline South ,Wards and Electoral Divisions,WED,2,1726,960,557,1281,539,420,1079,1427,5518,4067,1123,1464,737,157,65
8859,S13002622,Rosyth ,Wards and Electoral Divisions,WED,3,904,555,350,875,376,347,983,1006,3150,3046,959,1193,563,128,77
8860,S13002623,Inverkeithing and Dalgety Bay ,Wards and Electoral Divisions,WED,1,968,574,370,1090,439,316,762,795,3604,3884,1316,1732,888,203,91
